[11/7/2024, 10:30:11 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/create, Action: Created branch: Test 5
[11/7/2024, 1:34:24 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/7/2024, 1:41:10 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/7/2024, 1:41:26 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/7/2024, 1:44:10 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/7/2024, 1:46:42 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/7/2024, 1:46:50 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/7/2024, 1:50:08 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/7/2024, 1:58:42 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/7/2024, 2:01:57 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/7/2024, 2:02:06 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/1, Action: PUT branch 1
[11/7/2024, 2:13:56 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/create, Action: Created branch: สาขา 1 (สำนักงานใหญ่)
[11/7/2024, 2:14:01 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/create, Action: Created branch: สาขา 2 (ลาดหลุมแก้ว)
[11/7/2024, 2:14:08 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/create, Action: Created branch: สาขา 3 (โครงสร้างเหล็ก)
[11/7/2024, 2:14:15 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/create, Action: Created branch: สาขา 4 (แบบเหล็กให้เช่า)
[11/7/2024, 2:14:21 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/create, Action: Created branch: สาขา 5 (เครื่องจักร รถยนต์ให้เช่า)
[11/7/2024, 2:14:27 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/create, Action: Created branch: สาขา 6 (หลังคาเมทัลชีท และ แปกัลวาไนซ์)
[11/7/2024, 2:14:33 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/create, Action: Created branch: สาขา 7 (อะไหล่เพื่อจำหน่าย)
[11/7/2024, 2:14:38 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/branch/create, Action: Created branch: สาขา 8 (หอพักชาญนครนครลาดหลุมแก้ว)
[11/7/2024, 3:04:05 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/division/create, Action: Created division: Test 1
[11/7/2024, 3:05:23 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/division/create, Action: Created division: Test 3
[11/7/2024, 3:06:26 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/division/create, Action: Created division: Test 4
[11/7/2024, 3:18:26 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/division/1, Action: PUT division 1
[11/7/2024, 3:18:32 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/division/1, Action: PUT division 1
[11/7/2024, 3:32:54 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/site/3, Action: PUT site 3
[11/7/2024, 3:33:00 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/site/3, Action: PUT site 3
[11/7/2024, 3:37:13 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/role/7, Action: PUT role 7
[11/7/2024, 3:37:19 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/role/7, Action: PUT role 7
[11/7/2024, 3:52:50 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/department/1, Action: PUT department 1
[11/7/2024, 3:52:56 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/department/1, Action: PUT department 1
[11/7/2024, 3:53:05 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/department/1, Action: PUT department 1
[11/7/2024, 3:56:40 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/department/create, Action: Created department: Test 1
[11/7/2024, 3:57:21 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/department/7, Action: PUT department 7
[11/7/2024, 3:57:30 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/department/7, Action: PUT department 7
[11/7/2024, 4:05:59 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/position/1, Action: PUT position 1
[11/7/2024, 4:06:09 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/position/1, Action: PUT position 1
[11/7/2024, 4:09:54 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/position/create, Action: Created position: Test 1
[11/7/2024, 4:10:01 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/position/7, Action: PUT position 7
[11/11/2024, 4:58:40 PM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: IT67070001
[11/12/2024, 8:54:00 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: Test000001
[11/12/2024, 9:22:28 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: TEST00000002
[11/12/2024, 9:33:37 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: t
[11/12/2024, 9:42:01 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: terewre
[11/12/2024, 9:55:47 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: sfddsfdsdsf
[11/12/2024, 10:02:03 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: weqweqw
[11/12/2024, 10:11:28 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 2321312323
[11/12/2024, 10:24:34 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: sdsds
[11/12/2024, 10:26:41 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 121212
[11/12/2024, 10:31:44 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 1212assaasas12
[11/12/2024, 10:38:37 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 1212assaasdsdas12
[11/12/2024, 10:42:04 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 1212assaasdsdaasas12
[11/12/2024, 10:43:27 AM] UserID: 1, IP: ::1, URL: http://localhost:3000/hr/user/create, Action: Created user: 1212assasasasaasdsdaasas12
